source,metric,asset,required_lag_days,origin
coinmetrics,PriceUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,PriceUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,CapMrktCurUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,CapMrktCurUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,CapRealUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,CapRealUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,CapMVRVCur,btc,1,user_spec_not_empirical_release_audit
coinmetrics,CapMVRVCur,eth,1,user_spec_not_empirical_release_audit
coinmetrics,SplyCur,btc,1,user_spec_not_empirical_release_audit
coinmetrics,SplyCur,eth,1,user_spec_not_empirical_release_audit
coinmetrics,SplyAct1yr,btc,1,user_spec_not_empirical_release_audit
coinmetrics,SplyAct1yr,eth,1,user_spec_not_empirical_release_audit
coinmetrics,SplyActEver,btc,1,user_spec_not_empirical_release_audit
coinmetrics,SplyActEver,eth,1,user_spec_not_empirical_release_audit
coinmetrics,AdrActCnt,btc,1,user_spec_not_empirical_release_audit
coinmetrics,AdrActCnt,eth,1,user_spec_not_empirical_release_audit
coinmetrics,TxCnt,btc,1,user_spec_not_empirical_release_audit
coinmetrics,TxCnt,eth,1,user_spec_not_empirical_release_audit
coinmetrics,TxTfrValAdjUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,TxTfrValAdjUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,FeeTotUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,FeeTotUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,RevUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,RevUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,IssTotUSD,btc,1,user_spec_not_empirical_release_audit
coinmetrics,IssTotUSD,eth,1,user_spec_not_empirical_release_audit
coinmetrics,HashRate,btc,1,user_spec_not_empirical_release_audit
coinmetrics,HashRate,eth,1,user_spec_not_empirical_release_audit
coinmetrics,DiffMean,btc,1,user_spec_not_empirical_release_audit
coinmetrics,DiffMean,eth,1,user_spec_not_empirical_release_audit
coinmetrics,NVTAdj90,btc,1,user_spec_not_empirical_release_audit
coinmetrics,NVTAdj90,eth,1,user_spec_not_empirical_release_audit
coinmetrics,VtyDayRet30d,btc,1,user_spec_not_empirical_release_audit
coinmetrics,VtyDayRet30d,eth,1,user_spec_not_empirical_release_audit
binance_spot,spot_close,btcusdt,0,user_spec_not_empirical_release_audit
binance_spot,spot_close,ethusdt,0,user_spec_not_empirical_release_audit
binance_spot,spot_volume,btcusdt,0,user_spec_not_empirical_release_audit
binance_spot,spot_volume,ethusdt,0,user_spec_not_empirical_release_audit
binance_futures,funding_rate_daily,btcusdt,0,user_spec_not_empirical_release_audit
binance_futures,funding_rate_daily,ethusdt,0,user_spec_not_empirical_release_audit
binance_futures,perp_spot_basis,btcusdt,0,user_spec_not_empirical_release_audit
binance_futures,perp_spot_basis,ethusdt,0,user_spec_not_empirical_release_audit
binance_futures,open_interest,btcusdt,0,user_spec_not_empirical_release_audit
binance_futures,open_interest,ethusdt,0,user_spec_not_empirical_release_audit
binance_futures,open_interest_usd,btcusdt,0,user_spec_not_empirical_release_audit
binance_futures,open_interest_usd,ethusdt,0,user_spec_not_empirical_release_audit
binance_futures,taker_buy_sell_ratio,btcusdt,0,user_spec_not_empirical_release_audit
binance_futures,taker_buy_sell_ratio,ethusdt,0,user_spec_not_empirical_release_audit
binance_futures,long_short_ratio,btcusdt,0,user_spec_not_empirical_release_audit
binance_futures,long_short_ratio,ethusdt,0,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap,,1,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap_ethereum,,1,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap_tron,,1,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap_solana,,1,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap_arbitrum,,1,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap_base,,1,user_spec_not_empirical_release_audit
defillama,stablecoin_mcap_bsc,,1,user_spec_not_empirical_release_audit
defillama,total_tvl,,1,user_spec_not_empirical_release_audit
farside,etf_flow_musd,btc,1,user_spec_not_empirical_release_audit
farside,etf_flow_musd,eth,1,user_spec_not_empirical_release_audit
fred,WALCL,,8,user_spec_not_empirical_release_audit
fred,WTREGEN,,8,user_spec_not_empirical_release_audit
fred,RRPONTSYD,,1,user_spec_not_empirical_release_audit
fred,WRESBAL,,8,user_spec_not_empirical_release_audit
fred,M2SL,,30,user_spec_not_empirical_release_audit
fred,DTWEXBGS,,1,user_spec_not_empirical_release_audit
fred,DFII10,,1,user_spec_not_empirical_release_audit
fred,BAMLH0A0HYM2,,1,user_spec_not_empirical_release_audit
fred,VIXCLS,,1,user_spec_not_empirical_release_audit
fred,SP500,,1,user_spec_not_empirical_release_audit
alternative_me,fng,,0,user_spec_not_empirical_release_audit
coingecko,share_top100_above_sma50,,1,user_spec_not_empirical_release_audit
coingecko,share_top100_beating_btc_30d,,1,user_spec_not_empirical_release_audit
