fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O003,MVRV,cycle,-1,cm,1,dev,full,4548,4548.0,0.061,0.0261,0.0896,-0.061,False,True,ok
O003,MVRV,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3845,3845.0,0.0683,0.0356,0.1013,-0.0683,False,True,ok
O003,MVRV,cycle,-1,cm,1,dev,ex_2017,4182,4182.0,0.0471,0.0128,0.084,-0.0471,False,True,ok
O003,MVRV,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0793,-0.1676,-0.0166,0.0793,True,True,ok
O003,MVRV,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0072,-0.0473,0.0264,0.0072,True,False,ok
O003,MVRV,cycle,-1,cm,7,dev,full,4542,648.9,0.0967,0.0209,0.1644,-0.0967,False,True,ok
O003,MVRV,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3833,547.6,0.1068,0.0242,0.1704,-0.1068,False,True,ok
O003,MVRV,cycle,-1,cm,7,dev,ex_2017,4170,595.7,0.0645,-0.0156,0.1439,-0.0645,False,False,ok
O003,MVRV,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.2192,-0.3854,-0.0718,0.2192,True,True,ok
O003,MVRV,cycle,-1,cm,7,holdout,full,1323,189.0,-0.0475,-0.1441,0.0596,0.0475,True,False,ok
O003,MVRV,cycle,-1,cm,30,dev,full,4519,150.6,0.1212,0.0073,0.2279,-0.1212,False,True,ok
O003,MVRV,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3787,126.2,0.1361,0.0033,0.2586,-0.1361,False,True,ok
O003,MVRV,cycle,-1,cm,30,dev,ex_2017,4124,137.5,0.0676,-0.0456,0.1947,-0.0676,False,False,ok
O003,MVRV,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O003,MVRV,cycle,-1,cm,30,holdout,full,1300,43.3,-0.1928,-0.3507,-0.0311,0.1928,True,True,ok
O003,MVRV,cycle,-1,cm,90,dev,full,4459,49.5,0.1896,-0.011,0.3705,-0.1896,False,False,ok
O003,MVRV,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3667,40.7,0.2306,0.0143,0.4444,-0.2306,False,True,ok
O003,MVRV,cycle,-1,cm,90,dev,ex_2017,4004,44.5,0.1053,-0.1469,0.2911,-0.1053,False,False,ok
O003,MVRV,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O003,MVRV,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O003,MVRV,cycle,-1,cm,180,dev,full,4369,24.3,0.1585,-0.081,0.3734,-0.1585,False,False,ok
O003,MVRV,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3487,19.4,0.2399,-0.0694,0.4644,-0.2399,False,False,ok
O003,MVRV,cycle,-1,cm,180,dev,ex_2017,3824,21.2,0.0738,-0.2421,0.3328,-0.0738,False,False,ok
O003,MVRV,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O003,MVRV,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O003,MVRV,cycle,-1,cm,365,dev,full,4184,11.5,-0.0097,-0.3014,0.2128,0.0097,True,False,ok
O003,MVRV,cycle,-1,cm,365,dev,ex_2020-03_2022-01,3148,8.6,0.1356,-0.2346,0.4353,-0.1356,False,False,ok
O003,MVRV,cycle,-1,cm,365,dev,ex_2017,3454,9.5,-0.0427,-0.4012,0.1957,0.0427,True,False,ok
O003,MVRV,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O003,MVRV,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,1,dev,full,4184,4184.0,0.057,0.0239,0.0865,-0.057,False,True,ok
O004,MVRV Z causal,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3481,3481.0,0.0646,0.0287,0.1009,-0.0646,False,True,ok
O004,MVRV Z causal,cycle,-1,cm,1,dev,ex_2017,3818,3818.0,0.0374,-0.0006,0.071,-0.0374,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0793,-0.1651,-0.0173,0.0793,True,True,ok
O004,MVRV Z causal,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.013,-0.0482,0.0139,0.013,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,7,dev,full,4178,596.9,0.069,-0.0042,0.1324,-0.069,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3469,495.6,0.0746,-0.0167,0.1609,-0.0746,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,7,dev,ex_2017,3806,543.7,0.0217,-0.0598,0.0872,-0.0217,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.2185,-0.3676,-0.0485,0.2185,True,True,ok
O004,MVRV Z causal,cycle,-1,cm,7,holdout,full,1323,189.0,-0.0613,-0.1618,0.0306,0.0613,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,30,dev,full,4155,138.5,0.0715,-0.079,0.1798,-0.0715,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3423,114.1,0.0773,-0.0771,0.1928,-0.0773,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,30,dev,ex_2017,3760,125.3,-0.0097,-0.1247,0.1057,0.0097,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,30,holdout,full,1300,43.3,-0.2235,-0.3797,-0.0608,0.2235,True,True,ok
O004,MVRV Z causal,cycle,-1,cm,90,dev,full,4095,45.5,0.0575,-0.1595,0.2598,-0.0575,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3303,36.7,0.0735,-0.1833,0.2592,-0.0735,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,90,dev,ex_2017,3640,40.4,-0.0789,-0.3133,0.1092,0.0789,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,180,dev,full,4005,22.2,0.0415,-0.204,0.2459,-0.0415,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3123,17.4,0.1205,-0.2217,0.3476,-0.1205,False,False,ok
O004,MVRV Z causal,cycle,-1,cm,180,dev,ex_2017,3460,19.2,-0.0978,-0.3588,0.1404,0.0978,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,365,dev,full,3820,10.5,-0.1542,-0.4598,0.1757,0.1542,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,365,dev,ex_2020-03_2022-01,2784,7.6,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,365,dev,ex_2017,3090,8.5,-0.2523,-0.5861,0.0181,0.2523,True,False,ok
O004,MVRV Z causal,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O004,MVRV Z causal,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,1,dev,full,4349,4349.0,0.0681,0.033,0.0988,-0.0681,False,True,ok
M057,Mayer Multiple,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3646,3646.0,0.0763,0.0387,0.111,-0.0763,False,True,ok
M057,Mayer Multiple,cycle,-1,cm,1,dev,ex_2017,3983,3983.0,0.0572,0.0231,0.0921,-0.0572,False,True,ok
M057,Mayer Multiple,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0883,-0.1709,-0.0333,0.0883,True,True,ok
M057,Mayer Multiple,cycle,-1,cm,1,holdout,full,1329,1329.0,0.0072,-0.0387,0.0477,-0.0072,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,7,dev,full,4343,620.4,0.0976,0.0171,0.1706,-0.0976,False,True,ok
M057,Mayer Multiple,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3634,519.1,0.1049,0.0217,0.1902,-0.1049,False,True,ok
