fid,name,system,price,dev_1,hold_1,dev_7,hold_7,dev_30,hold_30,dev_90,hold_90,dev_180,hold_180,dev_365,hold_365
O003,MVRV,cycle,cm,0.061,-0.0072,0.0967,-0.0475,0.1212,-0.1928,0.1896,,0.1585,,-0.0097,
O004,MVRV Z causal,cycle,cm,0.057,-0.013,0.069,-0.0613,0.0715,-0.2235,0.0575,,0.0415,,-0.1542,
M057,Mayer Multiple,cycle,cm,0.0681,0.0072,0.0976,-0.0211,0.1111,-0.0658,0.1563,,0.2052,,0.0473,
M059,200W MA distance,cycle,cm,0.0117,-0.0242,-0.0249,-0.0899,-0.0833,-0.2691,-0.1787,,-0.3468,,,
M058,2Y MA multiplier,cycle,cm,0.0578,-0.0068,0.0709,-0.0351,0.0593,-0.1525,0.0697,,0.0538,,-0.1597,
O072,Puell Multiple,cycle,cm,0.0488,0.0192,0.059,0.0231,0.0404,-0.034,-0.0107,,-0.0225,,-0.2246,
O013,Mcap / thermocap,cycle,cm,-0.0031,-0.0322,-0.0503,-0.1049,-0.133,-0.2892,-0.2429,,-0.3586,,-0.5288,
O011,Realized cap 90d change,cycle,cm,0.0537,-0.0053,0.0853,-0.0462,0.0823,-0.1963,0.1364,,0.1545,,-0.0292,
M065,Four-year return,cycle,cm,-0.0024,0.0179,-0.0126,0.0359,0.0092,0.1137,0.0849,,0.1221,,,
M066,Log power-law residual,cycle,cm,0.0091,-0.0242,-0.0343,-0.0883,-0.1198,-0.263,-0.2266,,-0.3413,,-0.5348,
N001,ROI 1y (CM),cycle,cm,0.0205,0.0186,0.0133,0.0199,-0.0508,-0.0441,-0.0431,,-0.0676,,-0.2238,
O067,Hash ribbons,cycle,cm,0.0379,0.0395,0.0471,0.1234,0.0162,0.2009,0.0254,,0.0233,,-0.0857,
O059,Fee share of issuance+fees,cycle,cm,0.0181,0.0438,0.0205,0.111,0.0597,0.2323,-0.026,,-0.0569,,-0.2009,
O081,Exchange supply ratio,cycle,cm,-0.0533,0.0312,-0.0925,0.0884,-0.1054,0.1664,-0.1918,,-0.2488,,-0.2777,
N002,"Mcap per active address (log, z 365)",cycle,cm,0.0634,0.0074,0.0966,-0.0146,0.1075,-0.0714,0.129,,0.0997,,-0.0584,
