row,computed_at_utc,asof_date,system_id,system,horizon_days,score,exposure,exposure_smoothed,components_available,components_missing,components_stale,source_last_observation,code_sha256,spec_sha256,prev_row_sha256,row_sha256
1,2026-09-23T17:02:11+00:00,2026-09-22,CYCLE_v1,cycle,365,0.645367,0.675872,0.760546,"[""M066""]",[],[],"{""M066"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,GENESIS,5ea4eadc8a30d8c102891fcca494946e429bb6f7e1d16f94127f78c7a6cb836f
2,2026-09-23T17:02:11+00:00,2026-09-22,REGIME_v2_confirmed,regime,30,0.491233,0.539336,0.782292,"[""O080"", ""M106"", ""M015"", ""N004"", ""R101"", ""R105"", ""R106"", ""R108""]",[],"[""M106"", ""R101""]","{""O080"": ""2026-09-22"", ""M106"": ""2026-09-18"", ""M015"": ""2026-09-22"", ""N004"": ""2026-09-22"", ""R101"": ""2026-09-16"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22"", ""R108"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,5ea4eadc8a30d8c102891fcca494946e429bb6f7e1d16f94127f78c7a6cb836f,cbdeadba25e2e503f408f3ee53aba4003f0d1accfbec46ef1e911db8778cd3b2
3,2026-09-23T17:02:11+00:00,2026-09-22,REGIME_v2_pruned,regime,30,0.488754,0.407427,0.478698,"[""O080"", ""R101"", ""R105"", ""R106""]",[],"[""R101""]","{""O080"": ""2026-09-22"", ""R101"": ""2026-09-16"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,cbdeadba25e2e503f408f3ee53aba4003f0d1accfbec46ef1e911db8778cd3b2,c2d010af85d399d4379cce1ea6e483494db23ff8574346d4ee8b8f07546afe56
4,2026-09-23T17:02:11+00:00,2026-09-22,TACTICAL_v2,tactical,7,0.32032,0.221213,0.136422,"[""T102"", ""T108"", ""T110""]",[],"[""T102""]","{""T102"": ""2026-09-16"", ""T108"": ""2026-09-22"", ""T110"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,c2d010af85d399d4379cce1ea6e483494db23ff8574346d4ee8b8f07546afe56,447e0e64ce9bf5f94291a384fe6d23fadad5304145ab926c524ac31821647f12
5,2026-09-23T17:02:11+00:00,2026-09-22,CYCLE_wf2025_confirmed,cycle,365,0.501506,0.622475,0.650802,"[""M059"", ""O013""]",[],[],"{""M059"": ""2026-09-22"", ""O013"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,447e0e64ce9bf5f94291a384fe6d23fadad5304145ab926c524ac31821647f12,951f06e14525ae5b351a05916dd99e511a70b9e056f6cf6e620717f4018d8d48
6,2026-09-23T17:02:11+00:00,2026-09-22,CYCLE_wf2025_pruned,cycle,365,0.272635,0.465909,0.487179,"[""O013""]",[],[],"{""O013"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,951f06e14525ae5b351a05916dd99e511a70b9e056f6cf6e620717f4018d8d48,96224f7bace689c8163ff0bde9618977b5dbff65dbf45dbcdb8fe599a6e65505
7,2026-09-23T17:02:11+00:00,2026-09-22,REGIME_wf2026_confirmed,regime,30,0.387087,0.360531,0.476582,"[""M115"", ""O046"", ""R101"", ""R105"", ""R106""]",[],"[""R101""]","{""M115"": ""2026-09-16"", ""O046"": ""2026-09-22"", ""R101"": ""2026-09-16"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,96224f7bace689c8163ff0bde9618977b5dbff65dbf45dbcdb8fe599a6e65505,7f1d0252b7b47ab050fe9629c9e5d94a939b155aebe3c213707fa5251f93264a
8,2026-09-23T17:02:11+00:00,2026-09-22,REGIME_wf2026_pruned,regime,30,0.387087,0.360531,0.476582,"[""M115"", ""O046"", ""R101"", ""R105"", ""R106""]",[],"[""R101""]","{""M115"": ""2026-09-16"", ""O046"": ""2026-09-22"", ""R101"": ""2026-09-16"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,7f1d0252b7b47ab050fe9629c9e5d94a939b155aebe3c213707fa5251f93264a,38e57c8be84501d0640c9cab03803a0bc432607a9fc795023e7cc32abca3fa39
9,2026-09-23T17:02:11+00:00,2026-09-22,TACTICAL_wf2026_confirmed,tactical,7,0.628105,0.906754,0.713781,"[""T104"", ""T106"", ""T110"", ""T111""]",[],[],"{""T104"": ""2026-09-22"", ""T106"": ""2026-09-22"", ""T110"": ""2026-09-22"", ""T111"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,38e57c8be84501d0640c9cab03803a0bc432607a9fc795023e7cc32abca3fa39,dc0cb35aaa95cc33a0aabd4691238e8d0a6811694d1e74f2f239539e4cc5a7a2
10,2026-09-23T17:02:11+00:00,2026-09-22,TACTICAL_wf2026_pruned,tactical,7,0.493051,0.596861,0.506422,"[""T104"", ""T106""]",[],[],"{""T104"": ""2026-09-22"", ""T106"": ""2026-09-22""}",ec7142c64433eb84408657485ae2958693a43c9d2034d0d4b1c505476cf8bcdb,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,dc0cb35aaa95cc33a0aabd4691238e8d0a6811694d1e74f2f239539e4cc5a7a2,486a1d0a2ceaa3da29fcb6dfc28edc0f09ac5ccd7f37d50ccaaa57ca6aab3380
