row,computed_at_utc,asof_date,system_id,system,horizon_days,score,exposure,exposure_smoothed,components_available,components_missing,inputs_last_date,code_sha256,spec_sha256,prev_row_sha256,row_sha256
1,2026-09-23T16:59:57+00:00,2026-09-22,CYCLE_v1,cycle,365,0.645367,0.675872,0.760546,"[""M066""]",[],"{""M066"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,GENESIS,6a2c90bfea39b34cbeff305cb443b3757de6522ccb3631208fb1c4dace9b3362
2,2026-09-23T16:59:57+00:00,2026-09-22,REGIME_v2_confirmed,regime,30,0.491233,0.539336,0.782292,"[""O080"", ""M106"", ""M015"", ""N004"", ""R101"", ""R105"", ""R106"", ""R108""]",[],"{""O080"": ""2026-09-22"", ""M106"": ""2026-09-22"", ""M015"": ""2026-09-22"", ""N004"": ""2026-09-22"", ""R101"": ""2026-09-22"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22"", ""R108"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,6a2c90bfea39b34cbeff305cb443b3757de6522ccb3631208fb1c4dace9b3362,73a3b5c7d82f2c89ca73b00a35f062f2d00275bd38b9c989185115a845e50ce5
3,2026-09-23T16:59:57+00:00,2026-09-22,REGIME_v2_pruned,regime,30,0.488754,0.407427,0.478698,"[""O080"", ""R101"", ""R105"", ""R106""]",[],"{""O080"": ""2026-09-22"", ""R101"": ""2026-09-22"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,73a3b5c7d82f2c89ca73b00a35f062f2d00275bd38b9c989185115a845e50ce5,c31692342884fc8340a4e5bea6d3f1721b1751fea57d0e3bc64c943eb6dd4ed8
4,2026-09-23T16:59:57+00:00,2026-09-22,TACTICAL_v2,tactical,7,0.32032,0.221213,0.136422,"[""T102"", ""T108"", ""T110""]",[],"{""T102"": ""2026-09-22"", ""T108"": ""2026-09-22"", ""T110"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,c31692342884fc8340a4e5bea6d3f1721b1751fea57d0e3bc64c943eb6dd4ed8,391f9942f1f33fdcf29fb1e799dc9f9981485c8f161b157dd99c0d174325a1c2
5,2026-09-23T16:59:57+00:00,2026-09-22,CYCLE_wf2025_confirmed,cycle,365,0.501506,0.622475,0.650802,"[""M059"", ""O013""]",[],"{""M059"": ""2026-09-22"", ""O013"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,391f9942f1f33fdcf29fb1e799dc9f9981485c8f161b157dd99c0d174325a1c2,eed0ca70e8e16207f9b1e45e908ccaec67685e8832ba9730a298c27a6b5c804c
6,2026-09-23T16:59:57+00:00,2026-09-22,CYCLE_wf2025_pruned,cycle,365,0.272635,0.465909,0.487179,"[""O013""]",[],"{""O013"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,eed0ca70e8e16207f9b1e45e908ccaec67685e8832ba9730a298c27a6b5c804c,439fbb2099accef60df81a5a732ecaaf40deedde9996a1956420fa672d01e441
7,2026-09-23T16:59:57+00:00,2026-09-22,REGIME_wf2026_confirmed,regime,30,0.387087,0.360531,0.476582,"[""M115"", ""O046"", ""R101"", ""R105"", ""R106""]",[],"{""M115"": ""2026-09-22"", ""O046"": ""2026-09-22"", ""R101"": ""2026-09-22"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,439fbb2099accef60df81a5a732ecaaf40deedde9996a1956420fa672d01e441,aeeba091d747af78f5f56c201913e3c2ffe4e15a932cd997b3954204c11e88a8
8,2026-09-23T16:59:57+00:00,2026-09-22,REGIME_wf2026_pruned,regime,30,0.387087,0.360531,0.476582,"[""M115"", ""O046"", ""R101"", ""R105"", ""R106""]",[],"{""M115"": ""2026-09-22"", ""O046"": ""2026-09-22"", ""R101"": ""2026-09-22"", ""R105"": ""2026-09-22"", ""R106"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,aeeba091d747af78f5f56c201913e3c2ffe4e15a932cd997b3954204c11e88a8,884a39c4113c766402ee79d40aff1dddf62249c9f869252da1e065f08c52376c
9,2026-09-23T16:59:57+00:00,2026-09-22,TACTICAL_wf2026_confirmed,tactical,7,0.628105,0.906754,0.713781,"[""T104"", ""T106"", ""T110"", ""T111""]",[],"{""T104"": ""2026-09-22"", ""T106"": ""2026-09-22"", ""T110"": ""2026-09-22"", ""T111"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,884a39c4113c766402ee79d40aff1dddf62249c9f869252da1e065f08c52376c,a5508b2b0453e504ddc409e0a7bd101cd76a19badbe9f0881094bdbed9ada68d
10,2026-09-23T16:59:57+00:00,2026-09-22,TACTICAL_wf2026_pruned,tactical,7,0.493051,0.596861,0.506422,"[""T104"", ""T106""]",[],"{""T104"": ""2026-09-22"", ""T106"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,a5508b2b0453e504ddc409e0a7bd101cd76a19badbe9f0881094bdbed9ada68d,17eb4e7d9f046e176dc56950a839da9f7bce267a68c1a40bfd11835232c67e70
11,2026-09-23T16:59:57+00:00,2026-09-22,TREND200_BTC,baseline,0,1.0,1.0,1.0,[],[],"{""bitstamp:btcusd"": ""2026-09-22""}",060e5f47370cd9d8ebb689770b4383623ba3f61462e13828b8ede0f7e03d0184,7ee09c1d42b4b011c083c2f834bf7fb0547415e3bbb0bbc7ce264220935834ce,17eb4e7d9f046e176dc56950a839da9f7bce267a68c1a40bfd11835232c67e70,24d47e8a57864579c9a577f4443668a7393874d8e1d6a4c5619a0534082898cc
