date,sum_tickers,total_column,within_tolerance
2024-01-11,655.3,655.3,True
2024-01-12,202.99999999999997,203.0,True
2024-01-15,0.0,0.0,True
2024-01-16,-52.69999999999999,-52.7,True
2024-01-17,453.79999999999995,453.8,True
2024-01-18,-126.59999999999995,-126.6,True
2024-01-19,43.60000000000004,43.6,True
2024-01-22,-87.39999999999999,-87.4,True
2024-01-23,-106.09999999999998,-106.1,True
2024-01-24,-158.3,-158.3,True
2024-01-25,-79.80000000000004,-79.8,True
2024-01-26,14.799999999999992,14.8,True
2024-01-29,255.1,255.1,True
2024-01-30,247.3,247.3,True
2024-01-31,197.60000000000002,197.6,True
2024-02-01,38.5,38.5,True
2024-02-02,80.00000000000001,80.0,True
2024-02-05,68.10000000000001,68.1,True
2024-02-06,33.6,33.6,True
2024-02-07,146.0,146.0,True
2024-02-08,405.0,405.0,True
2024-02-09,541.5,541.5,True
2024-02-12,493.4,493.4,True
2024-02-13,636.3000000000001,636.3,True
2024-02-14,339.70000000000005,339.7,True
2024-02-15,477.4,477.4,True
2024-02-16,330.3,330.3,True
2024-02-19,0.0,0.0,True
2024-02-20,135.60000000000002,135.6,True
2024-02-21,-35.60000000000001,-35.6,True
2024-02-22,251.4,251.4,True
2024-02-23,232.5,232.5,True
2024-02-26,519.9,519.9,True
2024-02-27,576.9000000000001,576.9,True
2024-02-28,673.4,673.4,True
2024-02-29,92.3,92.3,True
2024-03-01,-139.6,-139.6,True
2024-03-04,562.7,562.7,True
2024-03-05,648.3,648.3,True
2024-03-06,332.0,332.0,True
2024-03-07,472.49999999999994,472.5,True
2024-03-08,223.00000000000006,223.0,True
2024-03-11,505.3999999999999,505.4,True
2024-03-12,1045.0,1045.0,True
2024-03-13,683.7,683.7,True
2024-03-14,132.69999999999996,132.7,True
2024-03-15,198.8,198.8,True
2024-03-18,-154.3,-154.3,True
2024-03-19,-326.2,-326.2,True
2024-03-20,-261.5,-261.5,True
2024-03-21,-94.0,-94.0,True
2024-03-22,-51.6,-51.6,True
2024-03-25,15.399999999999988,15.4,True
2024-03-26,418.0,418.0,True
2024-03-27,243.5,243.5,True
2024-03-28,182.79999999999998,182.8,True
2024-03-29,0.0,0.0,True
2024-04-01,-85.70000000000002,-85.7,True
2024-04-02,39.49999999999999,39.5,True
2024-04-03,113.50000000000001,113.5,True
2024-04-04,213.4,213.4,True
2024-04-05,203.0,203.0,True
2024-04-08,-223.8,-223.8,True
2024-04-09,-19.400000000000016,-19.4,True
2024-04-10,123.69999999999999,123.7,True
2024-04-11,91.29999999999998,91.3,True
2024-04-12,-55.099999999999994,-55.1,True
2024-04-15,-36.69999999999999,-36.7,True
2024-04-16,-58.00000000000001,-58.0,True
2024-04-17,-165.0,-165.0,True
2024-04-18,-4.3,-4.3,True
2024-04-19,59.7,59.7,True
2024-04-22,62.199999999999996,62.2,True
2024-04-23,31.59999999999999,31.6,True
2024-04-24,-120.60000000000001,-120.6,True
2024-04-25,-217.6,-217.6,True
2024-04-26,-83.60000000000001,-83.6,True
2024-04-29,-51.6,-51.6,True
2024-04-30,-161.6,-161.6,True
2024-05-01,-563.7,-563.7,True
2024-05-02,-34.4,-34.4,True
2024-05-03,378.3,378.3,True
2024-05-06,217.0,217.0,True
2024-05-07,-15.700000000000003,-15.7,True
2024-05-08,11.5,11.5,True
2024-05-09,-11.299999999999999,-11.3,True
2024-05-10,-84.7,-84.7,True
2024-05-13,66.0,66.0,True
2024-05-14,100.5,100.5,True
2024-05-15,303.0,303.0,True
2024-05-16,257.3,257.3,True
2024-05-17,221.5,221.5,True
2024-05-20,237.20000000000002,237.2,True
2024-05-21,305.7,305.7,True
2024-05-22,154.0,154.0,True
2024-05-23,107.9,107.9,True
2024-05-24,251.9,251.9,True
2024-05-27,0.0,0.0,True
2024-05-28,44.99999999999999,45.0,True
2024-05-29,28.3,28.3,True
2024-05-30,48.79999999999999,48.8,True
2024-05-31,48.8,48.8,True
2024-06-03,105.1,105.1,True
2024-06-04,886.5999999999999,886.6,True
2024-06-05,488.1,488.1,True
2024-06-06,217.7,217.7,True
2024-06-07,131.0,131.0,True
2024-06-10,-64.9,-64.9,True
2024-06-11,-200.4,-200.4,True
2024-06-12,100.8,100.8,True
2024-06-13,-226.20000000000002,-226.2,True
2024-06-14,-189.89999999999998,-189.9,True
2024-06-17,-145.9,-145.9,True
2024-06-18,-152.39999999999998,-152.4,True
2024-06-19,0.0,0.0,True
2024-06-20,-139.9,-139.9,True
2024-06-21,-105.9,-105.9,True
2024-06-24,-174.5,-174.5,True
2024-06-25,30.999999999999996,31.0,True
2024-06-26,21.400000000000002,21.4,True
2024-06-27,11.8,11.8,True
2024-06-28,73.0,73.0,True
2024-07-01,129.5,129.5,True
2024-07-02,-13.7,-13.7,True
2024-07-03,-20.5,-20.5,True
2024-07-04,0.0,0.0,True
2024-07-05,143.1,143.1,True
2024-07-08,294.8,294.8,True
2024-07-09,216.4,216.4,True
2024-07-10,147.4,147.4,True
2024-07-11,78.89999999999999,78.9,True
2024-07-12,310.09999999999997,310.1,True
2024-07-15,300.90000000000003,300.9,True
2024-07-16,422.5,422.5,True
2024-07-17,53.300000000000004,53.3,True
2024-07-18,37.2,37.2,True
2024-07-19,427.2,427.2,True
2024-07-22,485.90000000000003,485.9,True
2024-07-23,-77.99999999999999,-78.0,True
2024-07-24,44.5,44.5,True
2024-07-25,31.1,31.1,True
2024-07-26,51.8,51.8,True
2024-07-29,124.1,124.1,True
2024-07-30,-18.29999999999999,-18.3,True
2024-07-31,0.29999999999999893,0.3,True
2024-08-01,50.6,50.6,True
2024-08-02,-237.4,-237.4,True
2024-08-05,-168.4,-168.4,True
2024-08-06,-148.6,-148.6,True
2024-08-07,45.099999999999994,45.1,True
2024-08-08,194.6,194.6,True
2024-08-09,-89.7,-89.7,True
2024-08-12,27.799999999999997,27.8,True
2024-08-13,39.0,39.0,True
2024-08-14,-81.39999999999999,-81.4,True
2024-08-15,11.099999999999998,11.1,True
2024-08-16,35.89999999999999,35.9,True
2024-08-19,62.1,62.1,True
