date,hourly_rows,sum_interest_1h,completeness
2019-04-30,14,-0.0006181195489310512,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-01,24,-0.001087149046773488,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-02,24,-0.0011021325806705195,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-03,24,3.525362168132746e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-04,24,3.123556661058145e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-05,24,0.0002467907666443957,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-06,24,3.984604491988361e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-07,24,0.0002872716071410678,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-08,24,-0.0010668304350143084,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-09,24,-0.0016592684436342452,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-10,24,-0.0020732927090986596,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-11,24,-0.0007483064621853216,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-12,24,0.0002925846184109683,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-13,24,0.0008767703124525358,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-14,24,0.0013180875014630125,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-15,24,0.0016365938458464688,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-16,24,0.0022703800271081285,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-17,24,0.0008480443739401968,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-18,24,-5.9476565299318096e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-19,24,0.0010715855476158766,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-20,24,0.002019490645152554,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-21,24,0.0012401228329148423,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-22,24,0.0007827908990952518,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-23,24,0.00019204959022713116,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-24,24,0.0009052294987768176,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-25,24,0.0012002123550240377,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-26,24,0.0027927307052414817,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-27,24,0.003855965103758186,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-28,24,0.003219456159595769,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-29,24,0.0017632879325190087,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-30,24,0.0019499543265956145,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-05-31,24,0.001097511030271117,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-01,24,0.0010607064778909404,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-02,24,0.0012647429875645322,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-03,24,0.0009257699551489334,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-04,24,-4.8884285302302855e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-05,24,-8.31595411950252e-06,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-06,24,-3.244909776844386e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-07,24,1.0499339908671785e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-08,24,-3.649470923624379e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-09,24,-0.00018100942365865578,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-10,24,-6.031698868449342e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-11,24,-1.193446678402005e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-12,24,1.557991117471823e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-13,24,7.232916848457357e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-14,24,5.024855031625525e-05,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-15,24,0.0009413661022135813,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-16,24,0.0034693707784795307,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-17,24,0.0013899785211043993,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-18,24,0.0016783346742020085,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-19,24,0.0017688219858787082,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-20,24,0.0014245883346385758,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-21,24,0.0018485479337988916,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-22,24,0.005129211244693656,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-23,24,0.0062682943070234655,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-24,24,0.0027255998629307707,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-25,24,0.0020081062232629138,HOURLY_ACCRUAL_SUM; 24 rows expected
2019-06-26,24,0.002479891652650826,HOURLY_ACCRUAL_SUM; 24 rows expected
