,score,O102,O103,O080,M115,M106,M107,M109,M110,M105,M015,N003,O046,O049,O113,O115,M096,M088,O066,N004
1961-01-29,,,,,,,,,,0.9203296703296703,,,,,,,,,,
1961-01-30,,,,,,,,,,0.9178082191780822,,,,,,,,,,
1961-01-31,,,,,,,,,,1.0,,,,,,,,,,
1961-02-01,,,,,,,,,,0.997275204359673,,,,,,,,,,
1961-02-02,,,,,,,,,,0.9945652173913043,,,,,,,,,,
1961-02-03,,,,,,,,,,0.991869918699187,,,,,,,,,,
1961-02-04,,,,,,,,,,0.9891891891891892,,,,,,,,,,
1961-02-05,,,,,,,,,,0.9865229110512129,,,,,,,,,,
1961-02-06,,,,,,,,,,0.9838709677419355,,,,,,,,,,
1961-02-07,,,,,,,,,,0.9812332439678284,,,,,,,,,,
1961-02-08,,,,,,,,,,0.9786096256684492,,,,,,,,,,
1961-02-09,,,,,,,,,,0.976,,,,,,,,,,
1961-02-10,,,,,,,,,,0.973404255319149,,,,,,,,,,
1961-02-11,,,,,,,,,,0.9708222811671088,,,,,,,,,,
1961-02-12,,,,,,,,,,0.9682539682539683,,,,,,,,,,
1961-02-13,,,,,,,,,,0.9656992084432717,,,,,,,,,,
1961-02-14,,,,,,,,,,0.9631578947368421,,,,,,,,,,
1961-02-15,,,,,,,,,,0.9606299212598425,,,,,,,,,,
1961-02-16,,,,,,,,,,0.9581151832460733,,,,,,,,,,
1961-02-17,,,,,,,,,,0.9556135770234987,,,,,,,,,,
1961-02-18,,,,,,,,,,0.953125,,,,,,,,,,
1961-02-19,,,,,,,,,,0.9506493506493506,,,,,,,,,,
1961-02-20,,,,,,,,,,0.9481865284974094,,,,,,,,,,
1961-02-21,,,,,,,,,,0.9457364341085271,,,,,,,,,,
1961-02-22,,,,,,,,,,0.9432989690721649,,,,,,,,,,
1961-02-23,,,,,,,,,,0.9408740359897172,,,,,,,,,,
1961-02-24,,,,,,,,,,0.9384615384615385,,,,,,,,,,
1961-02-25,,,,,,,,,,0.9360613810741688,,,,,,,,,,
1961-02-26,,,,,,,,,,0.9336734693877551,,,,,,,,,,
1961-02-27,,,,,,,,,,0.9312977099236641,,,,,,,,,,
1961-02-28,,,,,,,,,,0.9289340101522843,,,,,,,,,,
1961-03-01,,,,,,,,,,0.9265822784810127,,,,,,,,,,
1961-03-02,,,,,,,,,,0.9242424242424242,,,,,,,,,,
1961-03-03,,,,,,,,,,1.0,,,,,,,,,,
1961-03-04,,,,,,,,,,0.9974874371859297,,,,,,,,,,
1961-03-05,,,,,,,,,,0.9949874686716792,,,,,,,,,,
1961-03-06,,,,,,,,,,0.9925,,,,,,,,,,
1961-03-07,,,,,,,,,,0.9900249376558603,,,,,,,,,,
1961-03-08,,,,,,,,,,0.9875621890547264,,,,,,,,,,
1961-03-09,,,,,,,,,,0.9851116625310173,,,,,,,,,,
1961-03-10,,,,,,,,,,0.9826732673267327,,,,,,,,,,
1961-03-11,,,,,,,,,,0.980246913580247,,,,,,,,,,
1961-03-12,,,,,,,,,,0.9778325123152709,,,,,,,,,,
1961-03-13,,,,,,,,,,0.9754299754299754,,,,,,,,,,
1961-03-14,,,,,,,,,,0.9730392156862745,,,,,,,,,,
1961-03-15,,,,,,,,,,0.9706601466992665,,,,,,,,,,
1961-03-16,,,,,,,,,,0.9682926829268292,,,,,,,,,,
1961-03-17,,,,,,,,,,0.9659367396593674,,,,,,,,,,
1961-03-18,,,,,,,,,,0.9635922330097088,,,,,,,,,,
1961-03-19,,,,,,,,,,0.9612590799031477,,,,,,,,,,
1961-03-20,,,,,,,,,,0.9589371980676329,,,,,,,,,,
1961-03-21,,,,,,,,,,0.9566265060240964,,,,,,,,,,
1961-03-22,,,,,,,,,,0.9543269230769231,,,,,,,,,,
1961-03-23,,,,,,,,,,0.9520383693045563,,,,,,,,,,
1961-03-24,,,,,,,,,,0.9497607655502392,,,,,,,,,,
1961-03-25,,,,,,,,,,0.9474940334128878,,,,,,,,,,
1961-03-26,,,,,,,,,,0.9452380952380952,,,,,,,,,,
1961-03-27,,,,,,,,,,0.9429928741092637,,,,,,,,,,
1961-03-28,,,,,,,,,,0.9407582938388626,,,,,,,,,,
1961-03-29,,,,,,,,,,0.9385342789598109,,,,,,,,,,
1961-03-30,,,,,,,,,,0.9363207547169812,,,,,,,,,,
1961-03-31,,,,,,,,,,1.0,,,,,,,,,,
1961-04-01,,,,,,,,,,0.9976525821596244,,,,,,,,,,
1961-04-02,,,,,,,,,,0.9953161592505855,,,,,,,,,,
1961-04-03,,,,,,,,,,0.9929906542056075,,,,,,,,,,
1961-04-04,,,,,,,,,,0.9906759906759907,,,,,,,,,,
1961-04-05,,,,,,,,,,0.9883720930232558,,,,,,,,,,
1961-04-06,,,,,,,,,,0.9860788863109049,,,,,,,,,,
1961-04-07,,,,,,,,,,0.9837962962962963,,,,,,,,,,
1961-04-08,,,,,,,,,,0.9815242494226328,,,,,,,,,,
1961-04-09,,,,,,,,,,0.9792626728110599,,,,,,,,,,
1961-04-10,,,,,,,,,,0.9770114942528736,,,,,,,,,,
1961-04-11,,,,,,,,,,0.9747706422018348,,,,,,,,,,
1961-04-12,,,,,,,,,,0.9725400457665904,,,,,,,,,,
1961-04-13,,,,,,,,,,0.9703196347031964,,,,,,,,,,
1961-04-14,,,,,,,,,,0.9681093394077449,,,,,,,,,,
1961-04-15,,,,,,,,,,0.9659090909090909,,,,,,,,,,
