year,train_end,candidates_valid,confirmed,dedupe_dropped,components,pruned,test_ic_confirmed,test_n_confirmed,test_ic_pruned,test_n_pruned
2013,2012-12-31,0,[],[],[],[],,0,,0
2014,2013-12-31,0,[],[],[],[],,0,,0
2015,2014-12-31,0,[],[],[],[],,0,,0
2016,2015-12-31,0,[],[],[],[],,0,,0
2017,2016-12-31,0,[],[],[],[],,0,,0
2018,2017-12-31,0,[],[],[],[],,0,,0
2019,2018-12-31,0,[],[],[],[],,0,,0
2020,2019-12-31,5,['O013'],[],['O013'],['O013'],0.564,366,0.564,366
2021,2020-12-31,12,['O013'],[],['O013'],['O013'],-0.3954,365,-0.3954,365
2022,2021-12-31,14,"['O013', 'M066']",['O013'],['M066'],['M066'],0.9541,365,0.9541,365
2023,2022-12-31,14,"['O072', 'O013', 'M066']",['O013'],"['O072', 'M066']",['M066'],0.1124,365,0.1495,365
2024,2023-12-31,16,"['M059', 'O013', 'M066']","['M059', 'O013']",['M066'],['M066'],0.9563,366,0.9563,366
2025,2024-12-31,16,"['M059', 'O013', 'M066']",['M066'],"['M059', 'O013']",['O013'],0.4891,264,0.5547,264
