year,train_end,candidates_valid,confirmed,dedupe_dropped,components,pruned,test_ic_confirmed,test_n_confirmed,test_ic_pruned,test_n_pruned
2012,2011-12-31,0,[],[],[],[],,0,,0
2013,2012-12-31,0,[],[],[],[],,0,,0
2014,2013-12-31,16,"['O079', 'O080', 'M109', 'N003', 'O046', 'N004', 'R108']","['O046', 'O079']","['O080', 'M109', 'N003', 'N004', 'R108']","['O080', 'M109', 'N003', 'N004', 'R108']",-0.0603,365,-0.0603,365
2015,2014-12-31,16,"['O079', 'O080', 'N003', 'O046', 'N004', 'R108']","['O046', 'O079']","['O080', 'N003', 'N004', 'R108']","['N003', 'N004', 'R108']",0.1888,365,0.1924,365
2016,2015-12-31,16,"['O080', 'M106', 'O046', 'O049', 'N004', 'R108']",['O046'],"['O080', 'M106', 'O049', 'N004', 'R108']","['M106', 'O049', 'N004', 'R108']",0.1178,366,0.0732,366
2017,2016-12-31,17,"['O079', 'O080', 'M106', 'O046', 'O049', 'N004', 'R108']","['O046', 'O079']","['O080', 'M106', 'O049', 'N004', 'R108']","['M106', 'O049', 'N004', 'R108']",-0.3003,365,-0.3447,365
2018,2017-12-31,17,"['O079', 'O080', 'M106', 'O046', 'N004', 'R108']","['O079', 'R108']","['O080', 'M106', 'O046', 'N004']","['M106', 'O046', 'N004']",-0.2921,365,-0.2338,365
2019,2018-12-31,20,"['O079', 'O080', 'M106', 'O046', 'N004', 'R101', 'R105', 'R108']","['O046', 'O079']","['O080', 'M106', 'N004', 'R101', 'R105', 'R108']","['M106', 'N004', 'R101', 'R105']",0.3507,365,0.1716,365
2020,2019-12-31,21,"['O079', 'O080', 'M106', 'O046', 'O049', 'N004', 'R101', 'R105', 'R108']","['O046', 'O079']","['O080', 'M106', 'O049', 'N004', 'R101', 'R105', 'R108']","['M106', 'N004', 'R101', 'R108']",-0.0471,366,-0.0103,366
2021,2020-12-31,26,"['O103', 'O079', 'O080', 'M106', 'O046', 'N004', 'R101', 'R108']","['O046', 'O079']","['O103', 'O080', 'M106', 'N004', 'R101', 'R108']","['O080', 'M106', 'R101']",-0.0721,365,-0.1519,365
2022,2021-12-31,26,"['O103', 'O079', 'O080', 'M106', 'O046', 'R101', 'R105', 'R106', 'R108']","['O046', 'O079']","['O103', 'O080', 'M106', 'R101', 'R105', 'R106', 'R108']","['O103', 'O080', 'R101', 'R105', 'R106']",0.0682,365,0.1759,365
2023,2022-12-31,27,"['O079', 'O080', 'M106', 'O046', 'N004', 'R101', 'R105', 'R106', 'R108']","['O046', 'O079']","['O080', 'M106', 'N004', 'R101', 'R105', 'R106', 'R108']","['O080', 'M106', 'N004', 'R101', 'R105', 'R106', 'R108']",-0.0854,365,-0.0854,365
2024,2023-12-31,30,"['O079', 'O080', 'M106', 'M015', 'O046', 'N004', 'R101', 'R105', 'R106', 'R108']","['O046', 'O079']","['O080', 'M106', 'M015', 'N004', 'R101', 'R105', 'R106', 'R108']","['O080', 'R101', 'R105', 'R106']",-0.0565,366,0.2169,366
2025,2024-12-31,30,"['O079', 'O080', 'M115', 'O046', 'N004', 'R105', 'R106']",['O079'],"['O080', 'M115', 'O046', 'N004', 'R105', 'R106']","['O080', 'M115', 'O046', 'N004', 'R105', 'R106']",0.1725,365,0.1725,365
2026,2025-12-31,30,"['M115', 'O046', 'R101', 'R105', 'R106']",[],"['M115', 'O046', 'R101', 'R105', 'R106']","['M115', 'O046', 'R101', 'R105', 'R106']",0.334,234,0.334,234
