,score,y,year
2019-01-01,0.14614773629864972,0.040765318680444626,2019
2019-01-02,0.3968253968253968,0.027627852881025674,2019
2019-01-03,0.4147501982553529,-0.049216613939130245,2019
2019-01-04,0.4223454833597464,-0.05159855336065135,2019
2019-01-05,0.44576405384006335,-0.051092890844482014,2019
2019-01-06,0.45174050632911394,-0.13707433944251265,2019
2019-01-07,0.4205533596837945,-0.09198301648223788,2019
2019-01-08,0.25829383886255924,-0.10720426643056583,2019
2019-01-09,0.2959747434885556,-0.09925730374185354,2019
2019-01-10,0.25,0.008422604910888244,2019
2019-01-11,0.3656422379826635,-0.001789838975463122,2019
2019-01-12,0.3732283464566929,0.022673467267955102,2019
2019-01-13,0.36742722265932337,0.017808109904758913,2019
2019-01-14,0.27358490566037735,-0.027735634619450562,2019
2019-01-15,0.31343283582089554,0.005016862033966417,2019
2019-01-16,0.4317111459968603,-0.010922951675354188,2019
2019-01-17,0.4619607843137255,-0.012967368515764913,2019
2019-01-18,0.3847962382445141,-0.008262432202604664,2019
2019-01-19,0.3335943617854346,-0.02767600974271911,2019
2019-01-20,0.25508607198748046,0.0032608785869460352,2019
2019-01-21,0.29319781078967944,-0.026649855784309902,2019
2019-01-22,0.26171875,-0.04580883593380559,2019
2019-01-23,0.2888368462138954,-0.026999215226341498,2019
2019-01-24,0.23634945397815912,-0.03870426493870051,2019
2019-01-25,0.2876071706936867,-0.029378720905489646,2019
2019-01-26,0.2842679127725857,-0.017109279843390616,2019
2019-01-27,0.2747081712062257,-0.026461998165473722,2019
2019-01-28,0.22317262830482115,0.008429349774757502,2019
2019-01-29,0.4017094017094017,0.01759547213352063,2019
2019-01-30,0.4417701863354037,-0.015388841688516036,2019
2019-01-31,0.649476977638343,-0.010450149984975296,2019
2019-02-01,0.4956196240841032,0.05533414185004522,2019
2019-02-02,0.5732816091224239,0.04475254957453847,2019
2019-02-03,0.6347413553116643,0.06220685934562089,2019
2019-02-04,0.4645236473990383,0.04732307051386459,2019
2019-02-05,0.460356952874011,0.045022069003603366,2019
2019-02-06,0.5851351351351352,0.058187956117251326,2019
2019-02-07,0.5537617300588998,0.05500344656770128,2019
2019-02-08,0.3030100480015917,-0.015581096619382744,2019
2019-02-09,0.21540563539700178,-0.012842744535766783,2019
2019-02-10,0.2200952604430393,-0.003397012374389238,2019
2019-02-11,0.2113076923076923,0.0710956516813097,2019
2019-02-12,0.2974675781313883,0.07333722553918587,2019
2019-02-13,0.2576998455752627,0.09515904782551794,2019
2019-02-14,0.2510456130947305,0.09218956982610797,2019
2019-02-15,0.25400229859009016,0.09512922696980565,2019
2019-02-16,0.26225549505948786,0.12927462335829468,2019
2019-02-17,0.3012715389902449,0.02050498632028517,2019
2019-02-18,0.13321142298617591,-0.01829593959916762,2019
2019-02-19,0.09460659847813414,-0.02554492783423176,2019
2019-02-20,0.13924433409727527,-0.03895554202870146,2019
2019-02-21,0.1430702884901358,-0.031900524640958786,2019
2019-02-22,0.1748852871082866,-0.03571349356208339,2019
2019-02-23,0.10201302231045568,-0.07507722834515887,2019
2019-02-24,0.1702787745071097,0.01700143317182904,2019
2019-02-25,0.18080744053558082,-0.02986214612021062,2019
2019-02-26,0.3318221702252121,0.012651858610438218,2019
2019-02-27,0.3219979943873942,0.011398694494990274,2019
2019-02-28,0.35125536547192904,0.015597409081504057,2019
2019-03-01,0.2488397101012792,0.010897766376762989,2019
2019-03-02,0.22994654464426595,0.03171990156075784,2019
2019-03-03,0.16574127349443807,0.028241636578452637,2019
2019-03-04,0.29499002133370034,0.04121101259038926,2019
2019-03-05,0.3265832625172912,0.0064595868797599895,2019
2019-03-06,0.27447232382623626,0.0010766269492716604,2019
2019-03-07,0.18099535091505198,0.0008979765168435822,2019
2019-03-08,0.167877358490566,0.015117156662090998,2019
2019-03-09,0.1645960513497553,0.01583624531591662,2019
2019-03-10,0.20031342908666913,0.016288110351361535,2019
2019-03-11,0.21911622918472898,0.02957176683492661,2019
2019-03-12,0.2163690409673021,0.03363082920178317,2019
2019-03-13,0.22977814907639468,0.04477650346688701,2019
2019-03-14,0.20238218606699654,0.02635000041224017,2019
2019-03-15,0.22215397215397212,0.015971133431514756,2019
2019-03-16,0.19815799538119827,7.488776196666423e-06,2019
2019-03-17,0.1999602277101058,0.0027692371697559605,2019
2019-03-18,0.2021284370147072,-0.013046741505703853,2019
2019-03-19,0.2360661887903026,-0.016820920756234987,2019
2019-03-20,0.23291167735329782,-0.0012349820715326389,2019
2019-03-21,0.17099986608613196,0.011780193543598255,2019
2019-03-22,0.17876470651903326,0.02875783144526348,2019
2019-03-23,0.21781154468620753,0.024889796849716112,2019
2019-03-24,0.26315393219755634,0.027612476945338128,2019
2019-03-25,0.18837001933475572,0.05160116443224602,2019
2019-03-26,0.1854663735762611,0.20713224630771832,2019
2019-03-27,0.19377113166268894,0.2001043302225122,2019
2019-03-28,0.18912639405204462,0.1957388943967897,2019
2019-03-29,0.21620584259510894,0.19864808007738546,2019
2019-03-30,0.14640485966708533,0.2054920794302114,2019
2019-03-31,0.1604364402915448,0.23097498696968144,2019
2019-04-01,0.13376785039931743,0.23393308925099202,2019
2019-04-02,0.1756862745098039,0.058516045456007255,2019
2019-04-03,0.14600817339268773,0.07339598167576034,2019
2019-04-04,0.13954346410210222,0.023944193706060598,2019
2019-04-05,0.12941300398560485,0.008566683512223967,2019
2019-04-06,0.21876129778640854,0.00026365061094669296,2019
2019-04-07,0.24566635201235734,-0.007565873142566675,2019
2019-04-08,0.235843616751877,-0.041314216566500264,2019
2019-04-09,0.10974047463085781,0.0045952508862954445,2019
2019-04-10,0.0732686636712731,-0.02006142779575121,2019
2019-04-11,0.07600295690447367,0.046928512779598815,2019
2019-04-12,0.24739688979039892,0.040885938466395745,2019
2019-04-13,0.22223270800612072,0.04770396415595887,2019
2019-04-14,0.28364029207283675,0.024037878667338277,2019
